Day,Adar,Apol6,Arid5b,Arl4a,Auts2,B2m,Bank1,Batf2,Bpgm,Bst2,Btg1,C1s1,Casp1,Casp3,Casp4,Casp7,Casp8,Ccl5,Ccl7,Ccrl2,Cd274,Cd38,Cd40,Cd47,Cd69,Cd74,Cd86,Cdkn1a,Cfb,Cfh,Ciita,Cmklr1,Cmpk2,Cmtr1,Cnp,Csf1,Cxcl10,Cxcl11,Cxcl9,Ddx60,Dhx58,Eif2ak2,Eif4e3,Elf1,Epsti1,Fas,Fcgr1,Fgl2,Fpr1,Gbp3,Gch1,Gmpr,Gpr18,Gzma,H2-Aa,H2-DMa,Helz2,Herc6,Hif1a,Icam1,Ido1,Ifi27,Ifi30,Ifi35,Ifi44,Ifi44l,Ifih1,Ifit2,Ifit3,Ifitm1,Ifitm2,Ifitm3,Ifnar2,Il10ra,Il15,Il15ra,Il18bp,Il2rb,Il4ra,Il6,Il7,Irf1,Irf2,Irf4,Irf5,Irf7,Irf8,Irf9,Isg15,Isg20,Isoc1,Itgb7,Jak2,Lamp3,Lap3,Lats2,Lcp2,Lgals3bp,Lpar6,Ly6e,Lysmd2,Mettl7b,Mov10,Mthfd2,Mvb12a,Mvp,Mx2,Myd88,Nampt,Ncoa3,Ncoa7,Nfkb1,Nfkbia,Nlrc5,Nmi,Nod1,Nub1,Nup93,Oas1a,Oas2,Oas3,Oasl1,Ogfr,P2ry14,Parp12,Parp14,Parp9,Pde4b,Peli1,Pfkp,Pim1,Pla2g4a,Plscr1,Pml,Pnp,Pnpt1,Procr,Psma2,Psma3,Psmb10,Psmb2,Psmb8,Psmb9,Psme1,Psme2,Ptgs2,Ptpn1,Ptpn2,Ptpn6,Rapgef6,Rbck1,Ripk1,Ripk2,Rnf31,Rsad2,Rtp4,Samd9l,Samhd1,Sectm1a,Sell,Selp,Serping1,Slamf7,Slc25a28,Socs1,Socs3,Sod2,Sp110,Sppl2a,Sri,Sspn,St3gal5,St8sia4,Stat1,Stat2,Stat3,Stat4,Tap1,Tapbp,Tdrd7,Tmem140,Tnfaip2,Tnfaip3,Tnfaip6,Tnfsf10,Tor1b,Trafd1,Trim12c,Trim14,Trim21,Trim25,Trim26,Txnip,Uba7,Ube2l6,Upp1,Usp18,Vamp5,Vamp8,Vcam1,Xaf1,Xcl1,Zbp1,Znfx1
0,3903,28,5508,1991,654,47358,628,162,1998,2324,8796,5323,373,1396,404,1946,2143,898,5,2653,1553,2001,786,9578,345,55395,299,3739,2669,23472,1741,11333,1582,500,2577,2863,65,8,50,511,462,2483,2453,8157,455,1304,263,3290,632,2250,546,659,247,1637,7329,1665,6394,1246,6316,24593,36,2973,3585,1797,830,142,4043,3719,1949,1404,8510,11032,4246,1135,222,316,324,944,8953,1,240,5864,5523,461,872,1301,2801,2773,508,1405,4401,1887,5527,37678,2369,13997,1217,6509,684,21653,1819,1,1240,176,1141,6488,122,1873,5016,5764,1910,9796,9210,828,1326,3728,6960,1276,290,198,276,181,2771,601,3541,8348,3118,7524,4632,3581,1101,1311,3782,2844,2749,1165,635,4202,4455,2776,2652,3198,1775,6711,3766,1028,5688,1273,2913,5546,4755,3214,842,1638,369,1237,5855,13741,9,2497,200,19842,256,1033,167,1473,5448,1551,9820,7192,2987,1789,8596,7826,3204,11482,385,2515,13556,3294,4149,2001,2066,34,13947,2503,2868,3129,1092,1303,7930,2857,61163,2289,1434,584,836,1177,8288,6054,1006,10,423,8386
0,3081,33,4078,1649,539,31670,391,152,1438,1772,6718,4195,280,995,293,1397,1779,680,7,1790,1018,1640,621,7141,240,38157,142,4827,2566,18000,1076,8202,1346,340,1850,2085,81,15,12,307,371,2103,1838,5606,319,1153,191,2440,351,1747,396,585,99,1301,5450,1211,4839,896,4633,17713,27,2359,2783,1438,722,75,2963,2684,1594,1343,6537,8538,3126,708,205,292,315,849,7067,8,140,4097,4252,298,612,954,1687,2037,467,1003,3431,1269,4086,28045,1738,10703,796,4818,510,17452,1358,1,975,191,977,4678,100,1461,3932,4326,1458,7286,8521,512,988,2708,5149,815,239,95,139,125,2233,479,2671,5950,2406,6583,3473,2691,800,976,2648,2017,2132,834,447,3205,3455,2194,2089,2495,1217,5216,2907,620,4269,1028,1890,3796,3379,2319,683,1286,223,900,4006,10147,1,1691,152,16269,173,899,109,1011,4250,1114,7260,5551,2315,1525,5647,6328,2280,8182,322,1733,9824,2587,3230,1266,1640,17,9654,1768,2242,2330,825,959,5578,2189,52819,1531,1184,521,602,876,6259,4213,717,8,261,5972
0,6213,47,7545,2421,1152,75911,1452,274,3013,4167,16695,8480,781,2145,761,2802,3372,2072,16,4039,2059,3773,1636,14321,305,75018,338,4633,4876,34618,2631,18980,2772,810,4725,3970,183,1,43,844,812,3843,4050,12513,915,2155,603,6071,699,2956,970,1009,564,3625,11135,2862,10915,2410,8300,42495,78,4907,6223,3043,1628,513,6008,6030,4264,2044,14967,20685,6754,1732,368,539,539,2281,17938,18,300,11245,8601,972,2018,3064,5056,4309,1068,2449,6427,4209,8577,39679,2998,20644,2263,10769,1185,37990,3228,1,2084,327,2029,9817,248,3580,7582,9481,2326,14863,10657,1450,2358,6111,10702,1908,720,666,1133,570,4903,884,5213,12179,4795,18437,6493,5359,3100,1893,5088,4441,4103,1676,1115,6421,7098,4937,4263,5435,2608,11311,6095,1373,9809,2312,6182,8269,8131,4885,1318,3040,877,2302,10369,26168,17,7069,244,33645,477,1711,439,3113,8185,2985,14704,11689,4493,2673,9311,12493,4934,17968,859,4157,22844,5239,7146,3735,3017,42,20784,3916,4471,4958,1879,1925,11605,5544,108341,4027,2558,1395,1275,2006,13162,9711,1784,39,832,12974
0,3920,25,4460,1381,602,37688,717,174,2031,2156,8511,5342,381,1279,385,1602,2089,918,13,2481,1323,2653,819,8206,181,45058,199,3424,2062,23224,1370,9786,1312,544,2481,2350,95,5,35,519,464,2519,2424,7532,354,1143,263,3163,446,1880,680,596,272,1764,6291,1550,7030,1301,6118,21404,34,2581,3232,1726,803,104,3732,3227,1767,942,7778,10659,3807,923,181,320,414,1232,10478,8,198,6694,4680,490,908,1285,2529,2579,510,1205,4539,2086,5008,32946,2084,12586,1112,5986,702,20236,1841,1,1141,222,1048,5623,136,2046,4561,5592,1607,8946,4932,938,1333,3535,5829,1195,271,215,302,162,2840,551,3105,7040,2780,13431,4213,3156,1482,978,2846,2652,2486,1039,517,3914,4100,2852,2327,2915,1396,6229,3459,781,5406,1386,2865,5510,4630,3189,821,1752,497,1222,5909,13525,4,3086,163,19549,232,1040,258,1937,4636,1555,9247,6356,2561,1662,6387,7805,3145,11086,484,2394,12465,3114,3762,1893,1452,33,11940,2252,2822,2849,1167,1183,7280,3179,63385,2264,1627,676,675,1113,6914,5308,1001,23,350,7622
0,2518,14,4078,1496,462,31660,249,127,1028,1619,5479,4243,172,841,269,1151,1489,422,12,1934,757,1750,687,6622,142,32235,108,6632,1487,16958,669,9254,874,276,1642,1450,70,16,31,166,202,1720,2028,4868,217,1113,159,2119,261,1142,431,473,108,691,4517,1009,4122,842,4240,19670,13,2243,2597,1317,482,26,2543,2602,1603,874,7710,9470,3103,396,118,135,250,514,8232,1,115,4429,3867,151,389,694,1578,1650,362,1075,2971,984,3444,23690,1453,10280,434,4258,377,15824,1419,1,857,97,964,5051,62,1417,3768,4236,1093,6555,9352,315,911,2276,4766,806,155,66,100,99,1985,308,2014,4938,1899,10258,3079,2165,636,679,2055,1711,2215,599,515,2681,3000,2021,1880,2028,1108,5054,2640,1240,4150,842,1207,3260,3578,2263,487,1213,209,670,2840,9566,9,1130,91,18747,114,693,81,1158,3598,862,6397,5631,1969,1365,3145,4953,1775,8392,233,1493,10086,2289,3383,981,1557,48,7326,1570,1778,1843,549,752,4994,2211,58423,1308,1185,720,535,926,6221,4792,658,4,195,6000
2,11717,360,7472,2302,863,84839,713,1137,2691,10205,12882,10720,944,2219,1460,3241,3643,1368,1192,4557,9016,4209,1292,14360,524,82337,718,6974,19375,31029,3743,13603,12130,897,4176,6215,11134,1572,2152,3238,2934,11074,3918,12409,1544,2197,1908,8029,1001,16372,1576,961,314,2294,11013,2793,16482,7156,10710,45288,364,4946,5403,4558,10937,1360,14013,24518,20937,2948,13536,34046,6695,2219,451,714,2263,1844,15511,393,316,16790,8170,433,2016,15635,4850,8423,10128,3925,6946,2267,9283,60407,5229,20042,2050,23181,935,58431,2861,5,3245,557,1946,10889,1895,5025,13137,8121,3287,13914,10914,3632,3487,5819,10162,1858,2443,1551,3316,3765,7276,1023,10186,29876,10938,17351,7227,5541,3444,2237,5696,7086,6436,2439,957,6875,7878,7161,4116,9439,4587,14769,9002,2651,10057,2517,4518,7469,7226,5581,1625,3553,14242,7753,16286,32002,265,4471,1136,32427,562,1832,1309,6682,9446,4078,17510,10402,3708,2790,8849,36520,13496,20853,725,10293,30022,7478,7213,5800,3810,133,22965,3341,8666,6975,2488,3446,15497,5202,79030,5619,6005,1465,6802,1781,12562,10467,4416,38,6666,25858
2,15448,774,6641,1729,766,89165,755,1907,1858,16477,12723,12735,1298,2466,2151,3353,4142,1480,4045,5536,19520,3162,2037,13297,1313,89005,1139,7493,29439,28350,5252,12596,28085,1201,4268,8820,37671,4264,5069,5194,5609,18629,3725,11917,2920,2046,4172,11938,802,29019,2346,664,314,2807,11162,3408,24031,12726,11935,51098,703,4287,5205,6153,23405,3116,22473,59267,38780,3067,13030,45243,6338,3413,580,845,3169,2056,14098,972,298,26012,8659,431,2896,29579,6547,9744,21036,5746,6091,2415,9899,54697,6392,14475,2690,31534,796,67663,2415,7,4635,942,1799,11465,4046,7474,18403,7073,4034,13895,12225,5732,4616,6459,9119,1480,4321,2411,7246,8408,9619,1266,14431,46962,17062,12825,7038,5630,5980,2188,4913,11551,10523,3191,900,6207,7080,9494,4088,13616,5861,16732,11142,3621,10582,2572,5545,5953,6271,5770,1935,4226,42019,11301,24542,44040,445,5918,2284,32600,961,1683,2783,12009,11213,5765,18469,8041,2400,2128,6520,57573,19505,22793,551,16533,36391,8578,7571,8122,6116,440,24737,2892,13247,7461,3171,5459,18213,5314,49856,7341,9588,1398,13108,1179,9913,14301,6594,155,12278,41434
2,13727,451,7503,2600,966,92066,628,1190,3506,15479,13986,11444,1122,2357,1771,3613,4559,1573,1837,5645,11580,3602,1797,15166,796,80766,739,11423,24462,33978,3214,16167,19325,1199,4354,7426,17903,2239,3248,3934,4166,15954,4730,13122,2491,2628,2180,8506,1115,21125,2107,1011,273,2550,10409,3295,18516,8952,11318,55951,428,5898,6172,5571,17190,1679,18206,42436,35447,3415,15466,42790,7263,2083,493,752,2697,2031,16977,698,433,20998,9662,618,2021,23431,4929,10027,17169,5664,7614,2330,9598,74350,6277,20406,2242,32414,1022,70432,3049,15,3733,664,2090,12557,3136,6401,16682,8247,3776,15606,14962,3693,4368,6145,10887,1924,3471,1603,3685,5572,8994,1374,12657,35027,14356,17868,7933,6248,4578,2379,5941,8978,8466,3042,1163,7746,8275,8952,4974,11277,4899,17568,10905,3557,11089,2762,4720,7201,7314,6203,1828,4379,26296,9563,19121,35935,318,3980,1477,38720,558,1924,1615,9525,12272,5150,18949,11761,4046,3068,7733,44351,16244,24824,720,12663,36131,8748,8580,7058,4775,311,22345,3611,10689,8279,2829,4513,18560,6184,77068,6632,9197,1671,11084,1798,13938,14204,6066,60,8317,33282
4,13689,538,5054,1754,780,147231,522,1571,1440,24564,12743,10062,1377,2434,2476,2941,4128,3878,3608,5295,16890,2517,2124,12780,995,62982,1288,9489,53662,17719,2694,11544,20250,941,3801,7887,24227,6375,4889,6244,6061,11246,3463,9691,3063,1469,8400,13655,513,23517,1921,412,358,4505,8137,2344,20436,12683,11259,42437,1031,2095,5124,6450,29224,4233,18836,58089,41294,3050,12592,51216,5961,4066,567,799,5538,3261,11384,655,149,18397,7194,282,3677,68184,6704,9104,23793,6934,3622,2455,9013,31088,4696,10489,3391,51279,774,89109,2081,4,4407,1165,1629,10683,4212,5605,14472,6188,2980,10905,13056,5761,4054,4999,7614,1414,6669,4136,12287,10633,9660,1352,13466,34582,13450,8578,6303,3902,3782,1964,3988,8510,7566,2251,981,5793,6377,8383,3589,14715,5509,15752,10010,2126,8484,2292,7493,4818,5486,4097,1461,3677,44754,11190,21833,36828,625,6517,1950,39744,2374,1161,1957,7579,9168,6122,16295,6222,1857,1872,4593,48784,19123,18043,668,18510,36560,7940,7423,6851,6621,166,18562,2362,13923,7034,2927,4082,14600,4597,47019,8062,9997,1484,15020,985,8792,9780,8980,298,16254,34493
4,16595,666,6618,2066,809,179777,403,1766,1316,25859,14081,13093,1567,2567,2884,3291,4727,4350,5275,6773,18743,3354,2189,14361,1202,64915,1246,14900,66800,23278,3290,15915,24752,1138,3515,9626,29812,5909,5058,8947,7415,13652,4081,10796,3323,2213,10040,15970,682,24938,2335,427,304,3831,7507,2590,32409,15270,15238,45746,918,1694,5225,7249,35633,5441,23040,63334,37926,3788,17565,63139,7567,4390,649,1194,6132,3978,16009,1314,158,19605,8498,290,4498,83578,8411,10467,25380,7329,4611,2803,11054,24255,4803,12101,4243,64583,972,106499,2460,9,5076,1545,1770,13280,6048,7376,17846,8444,3617,13036,16320,8272,4347,6463,7232,1750,7718,8189,15663,13383,10951,1638,15185,43263,15330,13910,6945,4328,5247,1898,4580,10919,8560,3307,869,5999,7359,9150,4565,16226,5998,16932,10570,3291,11803,3202,8308,5562,6203,5162,1633,4454,56321,13094,26628,41317,755,7442,3308,58432,2695,1623,2262,11397,11696,7164,19469,6385,1893,1767,5382,53434,24874,22850,632,22027,41882,8776,7105,8761,9598,311,19156,2620,16277,7562,3548,4694,18166,5166,47608,9924,10224,2080,16951,905,8046,12199,10137,222,20309,43278
4,13913,573,4899,1314,555,172820,234,2232,1054,29247,11611,11242,1613,2495,2688,2945,3983,5442,5489,5403,18975,2677,2380,11919,1246,59101,1411,12341,69955,14713,2926,12436,23282,995,3596,8253,29863,7693,7521,6107,6807,12113,3351,8268,3617,1695,12535,13677,456,24885,2465,222,306,4525,7017,2548,23231,12384,12814,37710,1359,1050,5468,6760,33433,5657,19600,62227,39063,2932,15244,60037,6835,4393,530,957,7078,4059,12452,905,153,20009,6848,257,4443,83065,8398,8486,28536,7039,3411,2626,9066,17510,4832,8299,3957,63281,604,104799,1738,9,5855,1571,1527,11872,5064,6565,16161,6185,3037,10607,12472,6717,4408,5106,5982,1443,8111,5506,15527,13752,9984,1623,13489,35929,13771,8785,5622,3664,5125,1929,3229,10047,9099,2554,877,5648,6087,9653,4286,16827,6351,17069,10790,2566,10166,2395,8140,3702,4803,4534,1367,3708,51682,11205,21000,36451,726,6494,2745,55516,3412,1118,2804,11184,10745,6792,14878,5151,1158,1463,2860,51760,20638,19275,627,21731,42215,7272,6445,7394,7342,232,14551,2195,15462,5639,3115,4320,13859,4299,30053,8187,10590,2123,16294,641,6581,11346,9692,439,21792,40448
6,6233,1144,1943,872,249,87199,186,2347,406,9361,6325,6552,863,1441,1608,1590,1871,1886,4489,3014,18469,1466,1178,5615,462,33147,754,6589,25424,8064,3700,5323,9952,447,1709,4184,17333,3516,5353,2979,3423,5233,1889,4861,1464,1003,5332,9719,231,17448,938,129,224,3885,4258,1352,11265,8028,9459,20903,1827,687,2306,3451,15257,2308,9619,42385,18694,1487,6665,27082,2960,1803,179,663,4449,2502,8603,988,84,19151,3856,279,1831,26312,5937,3780,10912,2703,1605,1816,5712,8616,3616,4305,2107,24494,381,36741,987,1,2049,1153,801,5917,2052,4227,12258,3051,1338,4825,5897,5578,2393,3177,3187,817,2915,2702,5564,4475,4498,896,7576,20903,8623,4355,2768,2690,3566,997,1749,4863,4767,1408,427,3098,3640,4491,2220,8679,3222,8567,5522,1395,5221,1603,3777,2048,2531,2902,820,2043,18117,5657,12426,29395,401,2924,896,24505,1573,687,2085,7801,6209,3654,8104,2404,459,712,1351,27361,10448,10871,347,14646,21074,2910,4150,5198,4951,107,9055,1142,8063,3152,1095,2255,6093,2468,12024,4618,4813,1080,6731,320,2935,6804,4269,105,9215,17295
6,14007,2413,4312,2067,650,176255,329,4894,994,30442,14333,13094,2190,3626,4214,3816,5298,5265,13534,6718,37178,3549,3088,12659,1111,61564,1742,16058,64726,15688,5909,11910,25027,1029,4155,10102,45289,10650,14566,6005,8733,12656,4447,9312,3732,2368,17190,19857,540,40862,2553,227,414,8675,7685,3307,21922,15558,22691,49398,3180,1545,5216,8706,35319,5071,22469,97838,42140,3755,16643,63453,7447,3961,469,1778,9600,5343,19848,1364,146,44309,9082,583,5726,78482,14133,8521,36333,8325,3799,4361,11885,14436,8051,8297,5281,62487,762,93633,2040,7,5064,2189,1965,15799,5141,10039,26175,6254,3213,10532,15699,10720,5759,7068,7490,1873,8078,5662,12904,14238,13215,1738,16143,41112,18904,6884,6069,5505,9468,2591,4608,10501,13390,3009,1126,7417,8624,12301,5657,23431,8580,22928,15536,2910,12606,3650,8989,4080,5225,6304,1846,4639,59905,13593,24756,63442,1203,6158,2530,58220,3890,1530,5828,20875,14430,9100,17705,5896,1088,1878,2194,59712,22589,24410,956,33063,51882,7603,9550,11341,10905,314,16764,2361,20504,7185,2757,5571,14565,5427,26163,9534,12600,2920,16881,749,7189,16054,11200,297,23411,38621
6,13618,2597,4331,2597,538,200547,207,5647,891,27778,16599,13129,2667,3966,4427,4078,5589,5361,22364,5993,35564,5112,3128,11727,1015,63371,2671,16919,72367,14706,5023,12261,19645,968,4517,8696,44017,12360,18020,5452,9338,11107,4681,8424,4676,2153,26260,20504,728,37533,2733,158,518,11522,7870,3849,19827,13857,26553,42805,4299,937,5834,7923,32476,5332,19830,85025,38448,4538,18519,61821,7751,4344,462,1826,11697,6317,22855,1058,97,43400,9510,693,7150,84878,16891,7903,31983,8011,3303,6417,13419,6494,7917,6904,7095,69135,715,99409,1790,6,5290,2262,2059,16201,3822,10816,26655,6655,3004,10312,18188,9571,6219,6814,7173,1929,8359,5848,16594,14978,13284,2287,15469,37731,17528,7185,5889,6640,8138,2802,4666,10514,13690,3002,1026,8126,7600,12836,6738,24682,8499,22532,16153,2917,13943,3839,10751,3940,5488,6425,1714,4138,53424,12857,21430,71245,1407,7398,2918,64547,5657,1480,5719,23823,13916,10366,15360,5620,781,1949,1735,53676,21149,24708,1142,33932,55723,6902,9394,12218,13611,249,11554,2184,21365,5421,2664,4797,13616,5008,25292,8817,12388,3709,14098,674,5950,15978,10858,502,27577,35125
